UFID|UF_SECURITY_FLG|UF_PROTECT_FLG|UF_PUBLISH_FLG
80032512|N|N|Y
80032630|N|N|N
80032681|N|N|N
80032770|N|N|N
80032836|N|N|Y
80032950|N|N|N
80032989|N|N|Y
80033005|N|N|N
80033060|N|N|N
80033101|N|N|N
80033140|N|N|N
80033190|N|N|N
80033330|N|N|N
80033377|N|N|Y
80033400|N|N|N
80033490|N|N|Y
80033521|N|N|N
80033732|N|N|Y
80033809|N|N|Y
80033820|N|N|Y
80033918|N|N|Y
80033938|N|N|Y
80033941|N|N|N
80034000|N|N|N
80034020|N|N|N
80034100|N|N|Y
80034190|N|N|N
80034361|N|N|N
80034459|N|N|Y
80034475|N|N|Y
80034583|N|N|N
80034730|N|N|N
80034781|N|N|N
80034860|N|N|Y
80034970|N|N|N
80035000|N|N|Y
80035150|N|N|N
80035201|N|N|N
80035218|N|N|Y
80035420|N|N|Y
80035541|N|N|Y
80035621|N|N|N
80035710|N|N|N
80035870|N|N|N
80035961|N|N|Y
80035966|N|N|Y
80035970|N|N|N
80036041|N|N|N
80036082|N|N|Y
80036085|N|N|Y
80036161|N|N|N
80036250|N|N|N
80036260|N|N|N
80036270|N|N|N
80036350|N|N|N
80036370|N|N|N
80036398|N|N|Y
80036461|N|N|N
80036520|N|N|N
80036623|N|N|Y
80036704|N|N|Y
80036780|N|N|N
80036790|N|N|N
80036810|N|N|N
80036881|N|N|N
80037000|N|N|N
80037010|N|N|N
80037049|N|N|Y
80037164|N|N|Y
80037170|N|N|Y
80037269|N|N|Y
80037301|N|N|N
80037447|N|N|Y
80037590|N|N|N
80037705|N|N|Y
80037721|N|N|N
80037739|N|N|N
80037900|N|N|Y
80037910|N|N|N
80037940|N|N|N
80037951|N|N|Y
80037960|N|N|Y
80038111|N|N|N
80038140|N|N|N
80038141|N|N|N
80038169|N|N|Y
80038190|N|N|Y
80038246|N|N|Y
80038340|N|N|N
80038350|N|N|N
80038561|N|N|N
80038569|N|N|Y
80038670|N|N|N
80038690|N|N|Y
80038787|N|N|Y
80038933|N|N|Y
80038949|N|N|Y
80038976|N|N|Y
80038981|N|N|N
80039000|N|N|N
80039317|N|N|N
80039328|N|N|Y
80039401|N|N|N
80039550|N|N|Y
80039640|N|N|N
80039676|N|N|Y
80039750|N|N|N
80039821|N|N|N
80039869|N|N|Y
80040150|N|N|Y
80040163|N|N|Y
80040241|N|N|N
80040370|N|N|N
80040410|N|N|Y
80040419|N|N|Y
80040460|N|N|N
80040490|N|N|N
80040600|N|N|Y
80040661|N|N|N
80040860|N|N|N
80040895|N|N|N
80040900|N|N|N
80040951|N|N|Y
80040990|N|N|Y
80041081|N|N|N
80041089|N|N|Y
80041109|N|N|Y
80041162|N|N|Y
80041478|N|N|Y
80041492|N|N|Y
80041501|N|N|N
80041569|N|N|Y
80041639|N|N|Y
80041670|N|N|Y
80041866|N|N|Y
80041905|N|N|Y
80041921|N|N|N
80041981|N|N|Y
80042033|N|N|Y
80042180|N|N|N
80042341|N|N|N
80042360|N|N|N
80042450|N|N|Y
80042470|N|N|N
80042473|N|N|N
80042574|N|N|Y
80042630|N|N|N
80042648|N|N|Y
80042761|N|N|N
80042800|N|N|N
80043115|N|N|Y
80043181|N|N|N
80043280|N|N|N
80043340|N|N|N
80043391|N|N|Y
80043601|N|N|N
80043656|N|N|Y
80043660|N|N|N
80043663|N|N|Y
80043820|N|N|N
80043931|N|N|Y
80043950|N|N|Y
80044021|N|N|N
80044051|N|N|N
80044130|N|N|N
80044134|N|N|Y
80044149|N|N|Y
80044170|N|N|Y
80044184|N|N|Y
80044197|N|N|Y
80044310|N|N|Y
80044360|N|N|N
80044441|N|N|N
80044460|N|N|N
80044470|N|N|N
80044580|N|N|Y
80044738|N|N|Y
80044840|N|N|N
80044861|N|N|N
80044877|N|N|Y
80045010|N|N|N
80045121|N|N|Y
80045194|N|N|Y
80045279|N|N|Y
80045281|N|N|N
80045360|N|N|N
80045500|N|N|N
80045620|N|N|Y
80045629|N|N|N
